n_key,n_bits,n_ranks,n_threads,oversample,distribution,local_sort_algorithm,merging_strategy,seed,sorted_ok,multiset_signature_ok,time_generation_seconds,time_local_sort_seconds,time_sampling_seconds,time_partition_seconds,time_communication_seconds,time_merge_seconds,time_verify_seconds,time_total_seconds
50000000,32,8,2,1,uniform,radix,bin,1,yes,yes,0.014773749,0.323221096,0.005113969,0.000033960,0.035512486,0.138718916,0.007875460,0.545076412
50000000,32,8,2,1,uniform,radix,heap,1,yes,yes,0.014095881,0.324143906,0.005355671,0.000036460,0.037571729,0.161960823,0.007863240,0.570092298
50000000,32,16,2,1,uniform,radix,basic,1,yes,yes,0.008617409,0.151937347,0.002937684,0.000060691,0.012736715,0.120842831,0.004195998,0.313073510
50000000,32,16,2,1,uniform,radix,bin,1,yes,yes,0.007125411,0.151742075,0.001994872,0.000059351,0.013031199,0.089700415,0.004186637,0.280643489
50000000,32,16,2,1,uniform,radix,heap,1,yes,yes,0.007069621,0.154073642,0.006968509,0.000071331,0.012689005,0.103824957,0.004181867,0.295736191
50000000,32,32,2,1,uniform,radix,basic,1,yes,yes,0.004414380,0.070101892,0.001801050,0.000087251,0.006967290,0.137082877,0.002179185,0.229422023
50000000,32,32,2,1,uniform,radix,bin,1,yes,yes,0.004025166,0.070652048,0.002246706,0.000075651,0.007368334,0.055888249,0.002210835,0.148627900
50000000,32,32,2,1,uniform,radix,heap,1,yes,yes,0.003794474,0.070779899,0.001425806,0.000121321,0.007118831,0.067549872,0.002174535,0.160069300
50000000,32,64,2,1,uniform,radix,basic,1,yes,yes,0.002038361,0.033235790,0.002626190,0.000095681,0.022643786,0.105065111,0.001123462,0.181039630
50000000,32,64,2,1,uniform,radix,bin,1,yes,yes,0.002130071,0.033270291,0.002636337,0.000040210,0.022107383,0.032836906,0.001122433,0.108385219
50000000,32,64,2,1,uniform,radix,heap,1,yes,yes,0.001948450,0.033260451,0.002697947,0.000063370,0.030439744,0.039946656,0.001122613,0.123277749
50000000,32,4,2,1,uniform,radix,basic,1,yes,yes,0.029389506,0.653330659,0.005720685,0.000007781,0.039451281,0.181151230,0.014136941,0.960902526
50000000,32,4,2,1,uniform,radix,bin,1,yes,yes,0.027212411,0.653538032,0.005131058,0.000007911,0.040903648,0.179194918,0.014145752,0.958901203
50000000,32,4,2,1,uniform,radix,heap,1,yes,yes,0.027241121,0.655436323,0.000520526,0.000008320,0.041130940,0.227947696,0.014127291,1.009306309
50000000,32,8,2,1,uniform,radix,basic,1,yes,yes,0.015778050,0.324180487,0.006788918,0.000035540,0.037973144,0.132712217,0.007904681,0.542897717
50000000,32,8,2,1,uniform,radix,bin,1,yes,yes,0.014284984,0.325084347,0.003300857,0.000036341,0.034389414,0.138794826,0.007865980,0.545876301
50000000,32,8,2,1,uniform,radix,heap,1,yes,yes,0.014062431,0.324898255,0.000943380,0.000039650,0.036812351,0.161685978,0.007881860,0.570748955
50000000,32,16,2,1,uniform,radix,basic,1,yes,yes,0.008869682,0.152036438,0.002578849,0.000074701,0.012655085,0.120642979,0.004174348,0.312443882
50000000,32,16,2,1,uniform,radix,bin,1,yes,yes,0.007071901,0.152452393,0.002935523,0.000079681,0.012493603,0.089679595,0.004197238,0.280038002
50000000,32,16,2,1,uniform,radix,heap,1,yes,yes,0.007117702,0.152439323,0.001912581,0.000055681,0.012632655,0.104077370,0.004192507,0.294487636
50000000,32,32,2,1,uniform,radix,basic,1,yes,yes,0.004435631,0.070554687,0.001503097,0.000090381,0.006911409,0.130785755,0.002176765,0.223101240
50000000,32,32,2,1,uniform,radix,bin,1,yes,yes,0.003832633,0.070287863,0.002992174,0.000105551,0.007110931,0.055908669,0.002187074,0.148634949
50000000,32,32,2,1,uniform,radix,heap,1,yes,yes,0.003574271,0.071234424,0.002518758,0.000076091,0.007204102,0.068158339,0.002174655,0.160705208
50000000,32,64,2,1,uniform,radix,basic,1,yes,yes,0.002096161,0.033259770,0.002646620,0.000051890,0.022212652,0.104158011,0.001126703,0.178577061
50000000,32,64,2,1,uniform,radix,bin,1,yes,yes,0.002153782,0.033249870,0.002823802,0.000036760,0.021763187,0.032864865,0.001130273,0.107737421
50000000,32,64,2,1,uniform,radix,heap,1,yes,yes,0.001953189,0.033299192,0.002454598,0.000049400,0.024453094,0.039186098,0.001131623,0.114791833
