n_key,n_bits,n_ranks,n_threads,oversample,distribution,local_sort_algorithm,merging_strategy,seed,sorted_ok,multiset_signature_ok,time_generation_seconds,time_local_sort_seconds,time_sampling_seconds,time_partition_seconds,time_merge_seconds,time_verify_seconds,time_total_seconds
50000000,64,1,1,1,uniform,radix,bin,1,yes,yes,0.214173545,0.822663309,0.000000000,0.000000000,0.000000000,0.000000000,1.036836854
50000000,64,1,1,1,uniform,quick,bin,1,yes,yes,0.211962893,3.397717139,0.000000000,0.000000000,0.000000000,0.000000000,3.609680031
50000000,64,1,2,1,uniform,radix,bin,1,yes,yes,0.208151946,0.426597243,0.000000000,0.000000000,0.000000000,0.000000000,0.634749189
50000000,64,1,2,1,uniform,quick,bin,1,yes,yes,0.189618700,1.982466785,0.000000000,0.000000000,0.000000000,0.000000000,2.172085485
50000000,64,1,4,1,uniform,radix,bin,1,yes,yes,0.200430586,0.257761487,0.000000000,0.000000000,0.000000000,0.000000000,0.458192073
50000000,64,1,4,1,uniform,quick,bin,1,yes,yes,0.200657348,1.329715263,0.000000000,0.000000000,0.000000000,0.000000000,1.530372611
50000000,64,1,8,1,uniform,radix,bin,1,yes,yes,0.209278396,0.179477721,0.000000000,0.000000000,0.000000000,0.000000000,0.388756117
50000000,64,1,8,1,uniform,quick,bin,1,yes,yes,0.190363696,0.974558762,0.000000000,0.000000000,0.000000000,0.000000000,1.164922458
50000000,64,1,16,1,uniform,radix,bin,1,yes,yes,0.204322187,0.150871976,0.000000000,0.000000000,0.000000000,0.000000000,0.355194163
50000000,64,1,16,1,uniform,quick,bin,1,yes,yes,0.190048094,0.630189094,0.000000000,0.000000000,0.000000000,0.000000000,0.820237188
50000000,64,1,32,1,uniform,radix,bin,1,yes,yes,0.204253006,0.134121234,0.000000000,0.000000000,0.000000000,0.000000000,0.338374240
50000000,64,1,32,1,uniform,quick,bin,1,yes,yes,0.200208984,0.466515818,0.000000000,0.000000000,0.000000000,0.000000000,0.666724802
50000000,64,1,64,1,uniform,radix,bin,1,yes,yes,0.200312685,0.151191778,0.000000000,0.000000000,0.000000000,0.000000000,0.351504463
50000000,64,1,64,1,uniform,quick,bin,1,yes,yes,0.202844894,0.507547840,0.000000000,0.000000000,0.000000000,0.000000000,0.710392734
50000000,64,1,1,1,uniform,radix,bin,1,yes,yes,0.209323325,0.844164537,0.000000000,0.000000000,0.000000000,0.000000000,1.053487862
50000000,64,1,1,1,uniform,quick,bin,1,yes,yes,0.200798229,3.449155586,0.000000000,0.000000000,0.000000000,0.000000000,3.649953815
50000000,64,1,2,1,uniform,radix,bin,1,yes,yes,0.200302185,0.425241273,0.000000000,0.000000000,0.000000000,0.000000000,0.625543458
50000000,64,1,2,1,uniform,quick,bin,1,yes,yes,0.197000608,1.975480960,0.000000000,0.000000000,0.000000000,0.000000000,2.172481568
50000000,64,1,4,1,uniform,radix,bin,1,yes,yes,0.200822649,0.255953462,0.000000000,0.000000000,0.000000000,0.000000000,0.456776111
50000000,64,1,4,1,uniform,quick,bin,1,yes,yes,0.201367673,1.325144488,0.000000000,0.000000000,0.000000000,0.000000000,1.526512161
50000000,64,1,8,1,uniform,radix,bin,1,yes,yes,0.202272040,0.183031369,0.000000000,0.000000000,0.000000000,0.000000000,0.385303409
50000000,64,1,8,1,uniform,quick,bin,1,yes,yes,0.200160644,0.996120161,0.000000000,0.000000000,0.000000000,0.000000000,1.196280805
50000000,64,1,16,1,uniform,radix,bin,1,yes,yes,0.203770172,0.150588144,0.000000000,0.000000000,0.000000000,0.000000000,0.354358316
50000000,64,1,16,1,uniform,quick,bin,1,yes,yes,0.199618959,0.645304133,0.000000000,0.000000000,0.000000000,0.000000000,0.844923092
50000000,64,1,32,1,uniform,radix,bin,1,yes,yes,0.204867680,0.134302256,0.000000000,0.000000000,0.000000000,0.000000000,0.339169936
50000000,64,1,32,1,uniform,quick,bin,1,yes,yes,0.200151944,0.464387280,0.000000000,0.000000000,0.000000000,0.000000000,0.664539224
50000000,64,1,64,1,uniform,radix,bin,1,yes,yes,0.191990790,0.145973868,0.000000000,0.000000000,0.000000000,0.000000000,0.337964658
50000000,64,1,64,1,uniform,quick,bin,1,yes,yes,0.197952297,0.454731015,0.000000000,0.000000000,0.000000000,0.000000000,0.652683312
50000000,64,1,1,1,uniform,radix,bin,1,yes,yes,0.208787672,0.843969655,0.000000000,0.000000000,0.000000000,0.000000000,1.052757327
50000000,64,1,1,1,uniform,quick,bin,1,yes,yes,0.198792903,3.437700866,0.000000000,0.000000000,0.000000000,0.000000000,3.636493769
50000000,64,1,2,1,uniform,radix,bin,1,yes,yes,0.198534321,0.431014988,0.000000000,0.000000000,0.000000000,0.000000000,0.629549309
50000000,64,1,2,1,uniform,quick,bin,1,yes,yes,0.201918938,1.990531299,0.000000000,0.000000000,0.000000000,0.000000000,2.192450237
50000000,64,1,4,1,uniform,radix,bin,1,yes,yes,0.199013164,0.256909450,0.000000000,0.000000000,0.000000000,0.000000000,0.455922614
50000000,64,1,4,1,uniform,quick,bin,1,yes,yes,0.200622107,1.322758549,0.000000000,0.000000000,0.000000000,0.000000000,1.523380656
50000000,64,1,8,1,uniform,radix,bin,1,yes,yes,0.199216926,0.176680169,0.000000000,0.000000000,0.000000000,0.000000000,0.375897095
50000000,64,1,8,1,uniform,quick,bin,1,yes,yes,0.199770910,1.002580002,0.000000000,0.000000000,0.000000000,0.000000000,1.202350912
50000000,64,1,16,1,uniform,radix,bin,1,yes,yes,0.201657895,0.151225989,0.000000000,0.000000000,0.000000000,0.000000000,0.352883884
50000000,64,1,16,1,uniform,quick,bin,1,yes,yes,0.194846742,0.624765335,0.000000000,0.000000000,0.000000000,0.000000000,0.819612077
50000000,64,1,32,1,uniform,radix,bin,1,yes,yes,0.201262302,0.133901493,0.000000000,0.000000000,0.000000000,0.000000000,0.335163795
50000000,64,1,32,1,uniform,quick,bin,1,yes,yes,0.200518128,0.475452827,0.000000000,0.000000000,0.000000000,0.000000000,0.675970955
50000000,64,1,64,1,uniform,radix,bin,1,yes,yes,0.200371675,0.153212484,0.000000000,0.000000000,0.000000000,0.000000000,0.353584159
50000000,64,1,64,1,uniform,quick,bin,1,yes,yes,0.203899284,0.484121836,0.000000000,0.000000000,0.000000000,0.000000000,0.688021120
